Date,TAVG (Degrees Fahrenheit),PRCP (Inches)
1/1/2019,,
1/2/2019,78,0
1/3/2019,81,0
1/4/2019,83,0
1/5/2019,84,0
1/6/2019,82,0
1/7/2019,80,0
1/8/2019,82,0
1/9/2019,83,0
1/10/2019,81,0
1/11/2019,85,0
1/12/2019,84,0
1/13/2019,82,0
1/14/2019,80,0
1/15/2019,81,0
1/16/2019,82,0
1/17/2019,80,0
1/18/2019,,
1/19/2019,82,0
1/20/2019,80,0
1/21/2019,82,0
1/22/2019,82,0
1/23/2019,82,0
1/24/2019,83,0
1/25/2019,,
1/26/2019,87,0
1/27/2019,84,0
1/28/2019,82,0
1/29/2019,81,0
1/30/2019,85,0
1/31/2019,84,0
2/1/2019,87,0
2/2/2019,87,0
2/3/2019,83,0
2/4/2019,82,0
2/5/2019,82,0.02
2/6/2019,83,0
2/7/2019,85,0
2/8/2019,,
2/9/2019,,
2/10/2019,84,2.51
2/11/2019,82,0
2/12/2019,82,0
2/13/2019,85,0
2/14/2019,83,0
2/15/2019,87,0
2/16/2019,,
2/17/2019,84,0.42
2/18/2019,86,0
2/19/2019,,
2/20/2019,83,0
2/21/2019,81,0
2/22/2019,88,0
2/23/2019,86,0
2/24/2019,83,0
2/25/2019,85,0
2/26/2019,89,0
2/27/2019,85,0
2/28/2019,83,0
3/1/2019,,
3/2/2019,,
3/3/2019,88,0
3/4/2019,85,0
3/5/2019,85,0.11
3/6/2019,86,0
3/7/2019,86,0
3/8/2019,,
3/9/2019,88,0
3/10/2019,86,0.85
3/11/2019,87,0
3/12/2019,83,0
3/13/2019,83,0
3/14/2019,86,0
3/15/2019,90,0
3/16/2019,,
3/17/2019,84,0.33
3/18/2019,86,0
3/19/2019,88,0
3/20/2019,87,0
3/21/2019,84,0
3/22/2019,,
3/23/2019,,
3/24/2019,88,0
3/25/2019,87,0
3/26/2019,83,0
3/27/2019,87,0
3/28/2019,,
3/29/2019,,
3/30/2019,,
3/31/2019,88,0
4/1/2019,90,0
4/2/2019,90,0
4/3/2019,87,0
4/4/2019,88,0
4/5/2019,91,0
4/6/2019,,
4/7/2019,87,0
4/8/2019,86,0.19
4/9/2019,87,0
4/10/2019,89,0.51
4/11/2019,86,0.06
4/12/2019,92,0.55
4/13/2019,90,0.14
4/14/2019,87,0.01
4/15/2019,85,0
4/16/2019,83,0.08
4/17/2019,82,0.09
4/18/2019,83,0.11
4/19/2019,,
4/20/2019,,
4/21/2019,87,0.11
4/22/2019,85,1.51
4/23/2019,,
4/24/2019,87,0
4/25/2019,83,0
4/26/2019,,
4/27/2019,,
4/28/2019,87,0
4/29/2019,85,0.12
4/30/2019,80,0
5/1/2019,85,0.11
5/2/2019,84,0
5/3/2019,85,0
5/4/2019,,
5/5/2019,85,0
5/6/2019,85,0
5/7/2019,86,0
5/8/2019,86,0
5/9/2019,86,0
5/10/2019,89,0
5/11/2019,,
5/12/2019,87,0
5/13/2019,88,0
5/14/2019,,
5/15/2019,87,0
5/16/2019,87,0
5/17/2019,90,0
5/18/2019,90,0
5/19/2019,88,0
5/20/2019,87,0
5/21/2019,87,0
5/22/2019,,
5/23/2019,87,0
5/24/2019,,
5/25/2019,,
5/26/2019,87,0
5/27/2019,88,0
5/28/2019,89,0
5/29/2019,88,0.01
5/30/2019,87,0
5/31/2019,,
6/1/2019,,
6/2/2019,87,0
6/3/2019,85,0
6/4/2019,80,0.62
6/5/2019,86,1.53
6/6/2019,84,0
6/7/2019,84,0.04
6/8/2019,88,0.13
6/9/2019,83,0
6/10/2019,79,2.16
6/11/2019,83,0.03
6/12/2019,82,0.39
6/13/2019,,
6/14/2019,,
6/15/2019,88,0.11
6/16/2019,83,0
6/17/2019,85,0
6/18/2019,,
6/19/2019,,
6/20/2019,,
6/21/2019,,
6/22/2019,,
6/23/2019,85,0
6/24/2019,86,0
6/25/2019,,
