Date,TAVG (Degrees Fahrenheit),PRCP (Inches)
1/1/2019,61,0
1/2/2019,59,0
1/3/2019,59,0
1/4/2019,59,0
1/5/2019,55,0
1/6/2019,59,0
1/7/2019,59,0
1/8/2019,59,0
1/9/2019,61,0
1/10/2019,61,0
1/11/2019,62,0
1/12/2019,59,0.07
1/13/2019,61,0
1/14/2019,60,2.03
1/15/2019,60,0
1/16/2019,57,0
1/17/2019,52,0
1/18/2019,56,0
1/19/2019,53,0
1/20/2019,54,0
1/21/2019,56,0
1/22/2019,57,0
1/23/2019,57,0
1/24/2019,56,0
1/25/2019,59,0
1/26/2019,60,0
1/27/2019,60,0
1/28/2019,56,0
1/29/2019,57,0
1/30/2019,60,0
1/31/2019,59,0
2/1/2019,60,0
2/2/2019,60,0
2/3/2019,63,0
2/4/2019,60,0.08
2/5/2019,61,0.3
2/6/2019,60,0.02
2/7/2019,62,0
2/8/2019,,
2/9/2019,62,0.09
2/10/2019,62,0.99
2/11/2019,58,0
2/12/2019,58,0
2/13/2019,60,0
2/14/2019,59,0.01
2/15/2019,61,0.04
2/16/2019,60,0.04
2/17/2019,62,0.17
2/18/2019,62,0.01
2/19/2019,62,0
2/20/2019,59,0
2/21/2019,60,0
2/22/2019,62,0.02
2/23/2019,61,0
2/24/2019,63,0
2/25/2019,62,0
2/26/2019,63,0
2/27/2019,60,0
2/28/2019,59,0.2
3/1/2019,61,0
3/2/2019,63,0
3/3/2019,63,0
3/4/2019,61,0
3/5/2019,63,0
3/6/2019,63,0
3/7/2019,64,0
3/8/2019,62,0
3/9/2019,63,0
3/10/2019,62,0
3/11/2019,61,0
3/12/2019,61,0
3/13/2019,62,0
3/14/2019,63,0
3/15/2019,62,0
3/16/2019,61,0
3/17/2019,60,0
3/18/2019,61,0
3/19/2019,60,0.16
3/20/2019,60,0
3/21/2019,58,0
3/22/2019,61,0.21
3/23/2019,60,0
3/24/2019,64,0
3/25/2019,63,0
3/26/2019,63,0
3/27/2019,61,0
3/28/2019,63,
3/29/2019,62,0
3/30/2019,61,0
3/31/2019,62,0
4/1/2019,63,0
4/2/2019,62,0
4/3/2019,61,0
4/4/2019,61,0
4/5/2019,63,0.01
4/6/2019,60,0.47
4/7/2019,61,0
4/8/2019,59,0
4/9/2019,63,0.65
4/10/2019,63,0.14
4/11/2019,63,0
4/12/2019,65,0
4/13/2019,65,0
4/14/2019,63,0.02
4/15/2019,64,0
4/16/2019,64,0
4/17/2019,63,0
4/18/2019,63,1.93
4/19/2019,64,0.13
4/20/2019,61,0.11
4/21/2019,65,0.28
4/22/2019,64,0
4/23/2019,,
4/24/2019,66,0.07
4/25/2019,63,0
4/26/2019,64,0.27
4/27/2019,61,0
4/28/2019,66,0
4/29/2019,65,0.09
4/30/2019,62,0.02
5/1/2019,63,0.26
5/2/2019,64,0
5/3/2019,64,0
5/4/2019,63,0
5/5/2019,60,0.15
5/6/2019,63,0
5/7/2019,64,0
5/8/2019,62,0
5/9/2019,64,0
5/10/2019,66,0
5/11/2019,64,0
5/12/2019,63,0
5/13/2019,63,0.09
5/14/2019,63,0
5/15/2019,62,0
5/16/2019,63,0
5/17/2019,61,0
5/18/2019,64,0
5/19/2019,63,0.06
5/20/2019,62,0.15
5/21/2019,64,0
5/22/2019,64,0
5/23/2019,63,0.59
5/24/2019,64,0.18
5/25/2019,64,0
5/26/2019,65,0.06
5/27/2019,65,0
5/28/2019,65,0
5/29/2019,65,0
5/30/2019,62,0
5/31/2019,63,0
6/1/2019,64,0
6/2/2019,64,0
6/3/2019,63,0
6/4/2019,63,0.48
6/5/2019,65,0.2
6/6/2019,63,0
6/7/2019,63,0.14
6/8/2019,63,0.08
6/9/2019,63,0
6/10/2019,60,0.73
6/11/2019,63,0.02
6/12/2019,61,0.06
6/13/2019,,
6/14/2019,,
6/15/2019,65,0
6/16/2019,63,0
6/17/2019,64,0
6/18/2019,65,0
6/19/2019,63,
6/20/2019,,
6/21/2019,61,0.17
6/22/2019,,
6/23/2019,62,0.17
6/24/2019,63,0
6/25/2019,,
6/26/2019,61,0
6/27/2019,65,0
6/28/2019,60,
6/29/2019,62,0
6/30/2019,61,0
7/1/2019,63,0
7/2/2019,62,0
7/3/2019,63,0
7/4/2019,64,0
7/5/2019,61,0
7/6/2019,63,0
7/7/2019,63,0
7/8/2019,66,0
7/9/2019,64,0
7/10/2019,62,0.84
7/11/2019,61,0.04
7/12/2019,64,0
7/13/2019,60,0.21
7/14/2019,62,0.26
7/15/2019,62,0.01
7/16/2019,62,0
7/17/2019,61,0
7/18/2019,60,0.2
7/19/2019,59,4.25
7/20/2019,58,1.42
7/21/2019,59,0.04
7/22/2019,59,1.41
7/23/2019,59,0.04
7/24/2019,60,0
7/25/2019,61,0
7/26/2019,61,0.01
7/27/2019,62,0
